dataset,context,embedding,method,setting_group,n_pert_genes,target_dim,pearson_r,pearson_r_std,mse,mse_std,sign_acc,sign_acc_std,n_folds
adamson,dataset::all,minus,frozen_linear,frozen_probe,75,256,0.12908657444020114,0.05825696754099621,1.3426822066307067,0.39307910213148867,0.5477083333333334,0.019778915848771325,5
adamson,dataset::all,minus,frozen_mlp,frozen_probe,75,256,0.12912094101309776,0.0866611596738397,1.2629313588142395,0.3482224116101074,0.5491666666666667,0.03699618153156711,5
adamson,dataset::all,minus,frozen_backbone_trainable_head,finetune,75,256,0.17593412411709627,0.06824474412854853,1.0997263312339782,0.3933934512063707,0.57390625,0.024457769904072526,5
adamson,dataset::all,baseline,frozen_linear,frozen_probe,75,256,0.10963733240962029,0.04427771546439569,1.4094029903411864,0.41516757083305444,0.54859375,0.019893924428494927,5
adamson,dataset::all,baseline,frozen_mlp,frozen_probe,75,256,0.10033166731397311,0.04239332963874853,1.3214071154594422,0.4816291527563488,0.5522395833333332,0.017805036204290935,5
adamson,dataset::all,baseline,frozen_backbone_trainable_head,finetune,75,256,0.18234660647809506,0.05132319122512726,1.1555357217788695,0.3941688912735399,0.5833333333333333,0.021311568283641953,5
adamson,dataset::all,scGPT_human,frozen_linear,frozen_probe,75,256,0.1703249851365884,0.04832387638187293,1.1517045617103576,0.5120439870835224,0.5592708333333334,0.016469866739493258,5
adamson,dataset::all,scGPT_human,frozen_mlp,frozen_probe,75,256,0.04978101506829261,0.048921513186756596,1.3888421297073363,0.6136269185300518,0.5171354166666667,0.021293995510276286,5
adamson,dataset::all,scGPT_human,frozen_backbone_trainable_head,finetune,75,256,0.16613084060450398,0.05066998873101667,1.1432146906852723,0.5305577938179125,0.5626562500000001,0.01870915690466391,5
adamson,dataset::all,v4_bias_rec_best,frozen_linear,frozen_probe,75,256,0.18522288595636685,0.03683476884116351,1.6061981320381165,0.4752442195715954,0.5730208333333333,0.020609869239503788,5
adamson,dataset::all,v4_bias_rec_best,frozen_mlp,frozen_probe,75,256,0.1424171988541881,0.0642377007354215,1.3898174524307252,0.4103291761387728,0.5601562499999999,0.020230201870182467,5
