dataset,context,embedding,method,fold_id,pearson_r,mse,sign_acc,n_train,n_test
adamson,dataset::all,minus,frozen_linear,0,0.0623629537721475,1.192310452461243,0.5307291666666667,60,15
adamson,dataset::all,minus,frozen_linear,1,0.0621493292972445,1.1861655712127686,0.5197916666666667,60,15
adamson,dataset::all,minus,frozen_linear,2,0.1580188309152921,1.5259000062942505,0.57109375,60,15
adamson,dataset::all,minus,frozen_linear,3,0.1521623831242323,0.819611132144928,0.5510416666666667,60,15
adamson,dataset::all,minus,frozen_linear,4,0.2107393482079108,1.989423751831055,0.5658854166666667,60,15
adamson,dataset::all,minus,frozen_mlp,0,-0.0112582365671793,1.3228777647018433,0.5044270833333333,60,15
adamson,dataset::all,minus,frozen_mlp,1,0.0713643006359537,1.0782126188278198,0.5096354166666667,60,15
adamson,dataset::all,minus,frozen_mlp,2,0.1905208592613538,1.3196640014648438,0.5986979166666667,60,15
adamson,dataset::all,minus,frozen_mlp,3,0.1711228996515274,0.7663636803627014,0.5559895833333334,60,15
adamson,dataset::all,minus,frozen_mlp,4,0.223871016750733,1.8275222778320312,0.5770833333333333,60,15
adamson,dataset::all,minus,frozen_backbone_trainable_head,0,0.0583110615611076,0.9728376269340516,0.5471354166666667,60,15
adamson,dataset::all,minus,frozen_backbone_trainable_head,1,0.1565319523215294,0.8770443201065063,0.5604166666666667,60,15
adamson,dataset::all,minus,frozen_backbone_trainable_head,2,0.2158477038145065,1.2575724124908447,0.58671875,60,15
adamson,dataset::all,minus,frozen_backbone_trainable_head,3,0.2262442782521248,0.5807046890258789,0.6088541666666667,60,15
adamson,dataset::all,minus,frozen_backbone_trainable_head,4,0.2201236899942159,1.7683690786361694,0.5643229166666667,60,15
adamson,dataset::all,baseline,frozen_linear,0,0.0672598438958327,1.300525426864624,0.5453125,60,15
adamson,dataset::all,baseline,frozen_linear,1,0.0618512506286303,1.2127337455749512,0.5145833333333333,60,15
adamson,dataset::all,baseline,frozen_linear,2,0.0963538018365701,1.523133397102356,0.5484375,60,15
adamson,dataset::all,baseline,frozen_linear,3,0.1514582633972168,0.8808289766311646,0.5747395833333333,60,15
adamson,dataset::all,baseline,frozen_linear,4,0.1712634493907292,2.129793643951416,0.5598958333333334,60,15
adamson,dataset::all,baseline,frozen_mlp,0,0.0283468385537465,1.253184199333191,0.5497395833333333,60,15
adamson,dataset::all,baseline,frozen_mlp,1,0.0883975421388944,0.9576405882835388,0.5221354166666666,60,15
adamson,dataset::all,baseline,frozen_mlp,2,0.1467643899222215,1.3935184478759766,0.5731770833333333,60,15
adamson,dataset::all,baseline,frozen_mlp,3,0.0990995532522598,0.8110552430152893,0.5671875,60,15
adamson,dataset::all,baseline,frozen_mlp,4,0.138949067890644,2.1915993690490723,0.5489583333333333,60,15
adamson,dataset::all,baseline,frozen_backbone_trainable_head,0,0.1071350229283173,1.1381890773773191,0.5653645833333333,60,15
adamson,dataset::all,baseline,frozen_backbone_trainable_head,1,0.125900150835514,0.9624382853507996,0.546875,60,15
adamson,dataset::all,baseline,frozen_backbone_trainable_head,2,0.1848895609378814,1.2490019798278809,0.5791666666666667,60,15
adamson,dataset::all,baseline,frozen_backbone_trainable_head,3,0.198066925505797,0.6257572770118713,0.6010416666666667,60,15
adamson,dataset::all,baseline,frozen_backbone_trainable_head,4,0.2421994801610708,1.8430274724960327,0.59140625,60,15
adamson,dataset::all,scGPT_human,frozen_linear,0,0.0837389970819155,1.083720326423645,0.53515625,60,15
adamson,dataset::all,scGPT_human,frozen_linear,1,0.1627766804148753,0.9057693481445312,0.5536458333333333,60,15
adamson,dataset::all,scGPT_human,frozen_linear,2,0.2213227118055026,1.1160141229629517,0.57421875,60,15
adamson,dataset::all,scGPT_human,frozen_linear,3,0.1747071313361327,0.5572723150253296,0.5809895833333333,60,15
adamson,dataset::all,scGPT_human,frozen_linear,4,0.209079410135746,2.095746755599976,0.55234375,60,15
adamson,dataset::all,scGPT_human,frozen_mlp,0,0.0778011781473954,1.3106106519699097,0.52421875,60,15
adamson,dataset::all,scGPT_human,frozen_mlp,1,-0.0153328249851862,1.1385356187820437,0.49375,60,15
adamson,dataset::all,scGPT_human,frozen_mlp,2,0.0939333309729894,1.2281464338302612,0.5393229166666667,60,15
adamson,dataset::all,scGPT_human,frozen_mlp,3,0.0960861720144748,0.7200967669487,0.53828125,60,15
adamson,dataset::all,scGPT_human,frozen_mlp,4,-0.0035778420666853,2.5468058586120605,0.4901041666666667,60,15
adamson,dataset::all,scGPT_human,frozen_backbone_trainable_head,0,0.0954762126008669,1.0619217157363892,0.5380208333333333,60,15
adamson,dataset::all,scGPT_human,frozen_backbone_trainable_head,1,0.1668605558574199,0.8599401116371155,0.5609375,60,15
adamson,dataset::all,scGPT_human,frozen_backbone_trainable_head,2,0.2258046468098958,1.1301672458648682,0.5838541666666667,60,15
adamson,dataset::all,scGPT_human,frozen_backbone_trainable_head,3,0.1483743134886026,0.5253980159759521,0.5744791666666667,60,15
adamson,dataset::all,scGPT_human,frozen_backbone_trainable_head,4,0.2051023783783118,2.084019422531128,0.5565104166666667,60,15
adamson,dataset::all,v4_bias_rec_best,frozen_linear,0,0.1251393400132656,1.5613354444503784,0.5731770833333333,60,15
adamson,dataset::all,v4_bias_rec_best,frozen_linear,1,0.1846803695584337,1.4030174016952517,0.5778645833333333,60,15
adamson,dataset::all,v4_bias_rec_best,frozen_linear,2,0.2398099939028422,1.6129992008209229,0.6046875,60,15
adamson,dataset::all,v4_bias_rec_best,frozen_linear,3,0.1976148585478464,0.9998924732208252,0.5692708333333333,60,15
adamson,dataset::all,v4_bias_rec_best,frozen_linear,4,0.178869815915823,2.4537463188171387,0.5401041666666667,60,15
adamson,dataset::all,v4_bias_rec_best,frozen_mlp,0,0.0835226407895485,1.2878633737564087,0.54765625,60,15
adamson,dataset::all,v4_bias_rec_best,frozen_mlp,1,0.0627965028087298,1.2811768054962158,0.5375,60,15
adamson,dataset::all,v4_bias_rec_best,frozen_mlp,2,0.2229146597286065,1.393481731414795,0.5971354166666667,60,15
adamson,dataset::all,v4_bias_rec_best,frozen_mlp,3,0.1349751087836921,0.8615189790725708,0.5611979166666666,60,15
adamson,dataset::all,v4_bias_rec_best,frozen_mlp,4,0.2078796200454235,2.1250874996185303,0.5572916666666666,60,15
adamson,dataset::all,v4_bias_rec_best,frozen_backbone_trainable_head,0,0.1366175536687175,1.150665044784546,0.57890625,60,15
adamson,dataset::all,v4_bias_rec_best,frozen_backbone_trainable_head,1,0.256725769986709,1.041179895401001,0.6119791666666666,60,15
adamson,dataset::all,v4_bias_rec_best,frozen_backbone_trainable_head,2,0.2876932099461555,1.1919941902160645,0.6231770833333333,60,15
adamson,dataset::all,v4_bias_rec_best,frozen_backbone_trainable_head,3,0.2075303009400765,0.670929491519928,0.5815104166666667,60,15
adamson,dataset::all,v4_bias_rec_best,frozen_backbone_trainable_head,4,0.2522718593478202,1.8617879152297971,0.5838541666666667,60,15
adamson,dataset::all,v4_plain_best,frozen_linear,0,-0.0802479604880015,1.4254661798477173,0.4895833333333333,60,15
adamson,dataset::all,v4_plain_best,frozen_linear,1,0.1553075961768627,1.217692255973816,0.56328125,60,15
adamson,dataset::all,v4_plain_best,frozen_linear,2,0.1632387302815914,1.7179419994354248,0.55234375,60,15
adamson,dataset::all,v4_plain_best,frozen_linear,3,0.1864263611535231,0.9088601469993592,0.5666666666666667,60,15
adamson,dataset::all,v4_plain_best,frozen_linear,4,0.1190279943247636,2.26503849029541,0.5270833333333333,60,15
adamson,dataset::all,v4_plain_best,frozen_mlp,0,-0.0294869322329759,1.3446940183639526,0.4830729166666667,60,15
adamson,dataset::all,v4_plain_best,frozen_mlp,1,0.1357009314000606,1.007177472114563,0.5466145833333333,60,15
adamson,dataset::all,v4_plain_best,frozen_mlp,2,0.187867904951175,1.4773014783859253,0.5794270833333334,60,15
adamson,dataset::all,v4_plain_best,frozen_mlp,3,0.150772563368082,0.7505597472190857,0.5580729166666667,60,15
adamson,dataset::all,v4_plain_best,frozen_mlp,4,0.1099180159469445,2.2928354740142822,0.5356770833333333,60,15
adamson,dataset::all,v4_plain_best,frozen_backbone_trainable_head,0,-0.0898921164373556,1.2171915769577026,0.4856770833333333,60,15
adamson,dataset::all,v4_plain_best,frozen_backbone_trainable_head,1,0.1732614330947399,0.9569547176361084,0.5630208333333333,60,15
adamson,dataset::all,v4_plain_best,frozen_backbone_trainable_head,2,0.2243838893870512,1.2382686138153076,0.58828125,60,15
adamson,dataset::all,v4_plain_best,frozen_backbone_trainable_head,3,0.2155892665187518,0.5954757928848267,0.5846354166666666,60,15
adamson,dataset::all,v4_plain_best,frozen_backbone_trainable_head,4,0.1545462980866432,2.077277421951294,0.5505208333333333,60,15
adamson,dataset::all,v4_type_pe_best,frozen_linear,0,-0.0122676459451516,1.4637514352798462,0.5,60,15
adamson,dataset::all,v4_type_pe_best,frozen_linear,1,0.1452721069256464,1.1821024417877195,0.55,60,15
adamson,dataset::all,v4_type_pe_best,frozen_linear,2,0.1613274312888582,1.4180504083633425,0.578125,60,15
adamson,dataset::all,v4_type_pe_best,frozen_linear,3,0.0690895974636078,0.8480948209762573,0.5440104166666667,60,15
adamson,dataset::all,v4_type_pe_best,frozen_linear,4,0.2271204923590024,2.241590976715088,0.5890625,60,15
adamson,dataset::all,v4_type_pe_best,frozen_mlp,0,0.0393651475509007,1.2404552698135376,0.5364583333333334,60,15
adamson,dataset::all,v4_type_pe_best,frozen_mlp,1,0.1052831341822942,1.0240031480789185,0.5330729166666667,60,15
adamson,dataset::all,v4_type_pe_best,frozen_mlp,2,0.1363796529670556,1.4324694871902466,0.5674479166666667,60,15
adamson,dataset::all,v4_type_pe_best,frozen_mlp,3,0.1963428790370623,0.7503842711448669,0.5986979166666667,60,15
adamson,dataset::all,v4_type_pe_best,frozen_mlp,4,0.1831594683229923,2.2693355083465576,0.5700520833333333,60,15
adamson,dataset::all,v4_type_pe_best,frozen_backbone_trainable_head,0,0.0828385829925537,1.1557917594909668,0.5513020833333333,60,15
adamson,dataset::all,v4_type_pe_best,frozen_backbone_trainable_head,1,0.1366127897053957,0.9707524180412292,0.5515625,60,15
adamson,dataset::all,v4_type_pe_best,frozen_backbone_trainable_head,2,0.2076504963139692,1.17271089553833,0.5908854166666667,60,15
adamson,dataset::all,v4_type_pe_best,frozen_backbone_trainable_head,3,0.1479886968930562,0.5714721083641052,0.5645833333333333,60,15
adamson,dataset::all,v4_type_pe_best,frozen_backbone_trainable_head,4,0.2856002767259876,1.9208903312683103,0.6114583333333333,60,15
adamson,dataset::all,scconcept,frozen_linear,0,-0.0771970519175132,1.273939609527588,0.4768229166666666,60,15
adamson,dataset::all,scconcept,frozen_linear,1,0.0323426347225904,0.8890225291252136,0.5067708333333333,60,15
adamson,dataset::all,scconcept,frozen_linear,2,0.0424132260183493,1.3094652891159058,0.5028645833333333,60,15
adamson,dataset::all,scconcept,frozen_linear,3,0.0489109685023625,0.6703189015388489,0.5294270833333333,60,15
adamson,dataset::all,scconcept,frozen_linear,4,-0.0136948170761267,2.5913918018341064,0.4830729166666667,60,15
adamson,dataset::all,scconcept,frozen_mlp,0,-0.0051678029199441,1.3196699619293213,0.5010416666666667,60,15
adamson,dataset::all,scconcept,frozen_mlp,1,-0.043091237048308,1.1985760927200315,0.475,60,15
adamson,dataset::all,scconcept,frozen_mlp,2,0.0094268309573332,1.47468900680542,0.5190104166666667,60,15
adamson,dataset::all,scconcept,frozen_mlp,3,-0.0718066363595426,0.8652953505516052,0.4614583333333333,60,15
adamson,dataset::all,scconcept,frozen_mlp,4,-0.0608061917126178,2.7004284858703613,0.48828125,60,15
